Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ἰάκωβος,James,N-NMS,G2385,James 1,1,16
Θεοῦ,of God,N-GMS,G2316,James 1,2,16
καὶ,and,Conj,G2532,James 1,3,16
Κυρίου,of the Lord,N-GMS,G2962,James 1,4,16
Ἰησοῦ,Jesus,N-GMS,G2424,James 1,5,16
Χριστοῦ,Christ,N-GMS,G5547,James 1,6,16
δοῦλος,a servant,N-NMS,G1401,James 1,7,16
Ταῖς,To the,Art-DFP,G3588,James 1,8,16
δώδεκα,twelve,Adj-DFP,G1427,James 1,9,16
φυλαῖς,tribes,N-DFP,G5443,James 1,10,16
ἐν,in,Prep,G1722,James 1,11,16
Διασπορᾷ,Dispersion,N-DFS,G1290,James 1,12,16
Χαίρειν,Greetings,V-PNA,G5463,James 1,13,16
Πᾶσαν,All,Adj-AFS,G3956,James 1,14,16
χαρὰν,joy,N-AFS,G5479,James 1,15,16
ἡγήσασθε,esteem it,V-AMM-2P,G2233,James 1,16,16
ἀδελφοί,brothers,N-VMP,G80,James 1,17,16
μου,of me,PPro-G1S,G1473,James 1,18,16
ὅταν,when,Conj,G3752,James 1,19,16
πειρασμοῖς,trials,N-DMP,G3986,James 1,20,16
περιπέσητε,you might fall into,V-ASA-2P,G4045,James 1,21,16
ποικίλοις,various,Adj-DMP,G4164,James 1,22,16
γινώσκοντες,knowing,V-PPA-NMP,G1097,James 1,23,16
ὅτι,that,Conj,G3754,James 1,24,16
δοκίμιον,testing,N-NNS,G1383,James 1,25,16
ὑμῶν,of your,PPro-G2P,G4771,James 1,26,16
πίστεως,faith,N-GFS,G4102,James 1,27,16
κατεργάζεται,produces,V-PIM/P-3S,G2716,James 1,28,16
ὑπομονήν,endurance,N-AFS,G5281,James 1,29,16
δὲ,And,Conj,G1161,James 1,30,16
ἔργον,work,N-ANS,G2041,James 1,31,16
τέλειον,its perfect,Adj-ANS,G5046,James 1,32,16
ἐχέτω,let have,V-PMA-3S,G2192,James 1,33,16
ἵνα,so that,Conj,G2443,James 1,34,16
ἦτε,you may be,V-PSA-2P,G1510,James 1,35,16
ὁλόκληροι,complete,Adj-NMP,G3648,James 1,36,16
μηδενὶ,nothing,Adj-DNS,G3367,James 1,37,16
λειπόμενοι,lacking,V-PPM/P-NMP,G3007,James 1,38,16
Εἰ,If,Conj,G1487,James 1,39,16
τις,any,IPro-NMS,G5100,James 1,40,16
σοφίας,wisdom,N-GFS,G4678,James 1,41,16
αἰτείτω,let him ask,V-PMA-3S,G154,James 1,42,16
παρὰ,from,Prep,G3844,James 1,43,16
διδόντος,giving,V-PPA-GMS,G1325,James 1,44,16
ἁπλῶς,generously,Adv,G574,James 1,45,16
μὴ,not,Adv,G3361,James 1,46,16
ὀνειδίζοντος,finding fault,V-PPA-GMS,G3679,James 1,47,16
αὐτῷ,to him,PPro-DM3S,G846,James 1,48,16
διακρινόμενος,doubting,V-PPM-NMS,G1252,James 1,49,16
γὰρ,for,Conj,G1063,James 1,50,16
ἔοικεν,is like,V-RIA-3S,G1503,James 1,51,16
κλύδωνι,a wave,N-DMS,G2830,James 1,52,16
θαλάσσης,of the sea,N-GFS,G2281,James 1,53,16
ἀνεμιζομένῳ,being blown by the wind,V-PPM/P-DMS,G416,James 1,54,16
ῥιπιζομένῳ,being tossed by the wind,V-PPM/P-DMS,G4494,James 1,55,16
οἰέσθω,let suppose,V-PMM/P-3S,G3633,James 1,56,16
ἄνθρωπος,man,N-NMS,G444,James 1,57,16
ἐκεῖνος,that,DPro-NMS,G1565,James 1,58,16
λήμψεταί,he will receive,V-FIM-3S,G2983,James 1,59,16
ἀνὴρ,He is a man,N-NMS,G435,James 1,60,16
δίψυχος,double-minded,Adj-NMS,G1374,James 1,61,16
ἀκατάστατος,unstable,Adj-NMS,G182,James 1,62,16
ὁδοῖς,ways,N-DFP,G3598,James 1,63,16
Καυχάσθω,Let boast,V-PMM/P-3S,G2744,James 1,64,16
ταπεινὸς,of low degree,Adj-NMS,G5011,James 1,65,16
ὕψει,exaltation,N-DNS,G5311,James 1,66,16
πλούσιος,rich,Adj-NMS,G4145,James 1,67,16
ταπεινώσει,humiliation,N-DFS,G5014,James 1,68,16
ὡς,like,Adv,G5613,James 1,69,16
ἄνθος,a flower,N-NNS,G438,James 1,70,16
χόρτου,of grass,N-GMS,G5528,James 1,71,16
παρελεύσεται,he will pass away,V-FIM-3S,G3928,James 1,72,16
ἀνέτειλεν,Has risen,V-AIA-3S,G393,James 1,73,16
ἥλιος,sun,N-NMS,G2246,James 1,74,16
σὺν,with,Prep,G4862,James 1,75,16
καύσωνι,burning heat,N-DMS,G2742,James 1,76,16
ἐξήρανεν,withered,V-AIA-3S,G3583,James 1,77,16
ἐξέπεσεν,has fallen,V-AIA-3S,G1601,James 1,78,16
εὐπρέπεια,beauty,N-NFS,G2143,James 1,79,16
προσώπου,appearance,N-GNS,G4383,James 1,80,16
ἀπώλετο,has perished,V-AIM-3S,G622,James 1,81,16
οὕτως,Thus,Adv,G3779,James 1,82,16
πορείαις,pursuits,N-DFP,G4197,James 1,83,16
μαρανθήσεται,will fade away,V-FIP-3S,G3133,James 1,84,16
Μακάριος,Blessed is the,Adj-NMS,G3107,James 1,85,16
ὃς,who,RelPro-NMS,G3739,James 1,86,16
ὑπομένει,endures,V-PIA-3S,G5278,James 1,87,16
δόκιμος,approved,Adj-NMS,G1384,James 1,88,16
γενόμενος,having been,V-APM-NMS,G1096,James 1,89,16
στέφανον,crown,N-AMS,G4735,James 1,90,16
ζωῆς,of life,N-GFS,G2222,James 1,91,16
ἐπηγγείλατο,He has promised,V-AIM-3S,G1861,James 1,92,16
ἀγαπῶσιν,loving,V-PPA-DMP,G25,James 1,93,16
πειραζόμενος,being tempted,V-PPM/P-NMS,G3985,James 1,94,16
λεγέτω,let say,V-PMA-3S,G3004,James 1,95,16
Ἀπὸ,By,Prep,G575,James 1,96,16
ἀπείραστός,unable to be tempted,Adj-NMS,G551,James 1,97,16
κακῶν,by evils,Adj-GNP,G2556,James 1,98,16
οὐδένα,no one,Adj-AMS,G3762,James 1,99,16
ἕκαστος,A man,Adj-NMS,G1538,James 1,100,16
ὑπὸ,by,Prep,G5259,James 1,101,16
ἰδίας,own,Adj-GFS,G2398,James 1,102,16
