Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,2 Thessalonians 1,1,5
καὶ,and,Conj,G2532,2 Thessalonians 1,2,5
Σιλουανὸς,Silvanus,N-NMS,G4610,2 Thessalonians 1,3,5
Τιμόθεος,Timothy,N-NMS,G5095,2 Thessalonians 1,4,5
Τῇ,To the,Art-DFS,G3588,2 Thessalonians 1,5,5
ἐκκλησίᾳ,church,N-DFS,G1577,2 Thessalonians 1,6,5
Θεσσαλονικέων,of the Thessalonians,N-GMP,G2331,2 Thessalonians 1,7,5
ἐν,in,Prep,G1722,2 Thessalonians 1,8,5
Θεῷ,God,N-DMS,G2316,2 Thessalonians 1,9,5
Πατρὶ,the Father,N-DMS,G3962,2 Thessalonians 1,10,5
ἡμῶν,of us,PPro-G1P,G1473,2 Thessalonians 1,11,5
Κυρίῳ,the Lord,N-DMS,G2962,2 Thessalonians 1,12,5
Ἰησοῦ,Jesus,N-DMS,G2424,2 Thessalonians 1,13,5
Χριστῷ,Christ,N-DMS,G5547,2 Thessalonians 1,14,5
Χάρις,Grace,N-NFS,G5485,2 Thessalonians 1,15,5
ὑμῖν,to you,PPro-D2P,G4771,2 Thessalonians 1,16,5
εἰρήνη,peace,N-NFS,G1515,2 Thessalonians 1,17,5
ἀπὸ,from,Prep,G575,2 Thessalonians 1,18,5
Εὐχαριστεῖν,To thank,V-PNA,G2168,2 Thessalonians 1,19,5
ὀφείλομεν,we ought,V-PIA-1P,G3784,2 Thessalonians 1,20,5
πάντοτε,always,Adv,G3842,2 Thessalonians 1,21,5
περὶ,concerning,Prep,G4012,2 Thessalonians 1,22,5
ἀδελφοί,brothers,N-VMP,G80,2 Thessalonians 1,23,5
καθὼς,just as,Adv,G2531,2 Thessalonians 1,24,5
ἄξιόν,fitting,Adj-NNS,G514,2 Thessalonians 1,25,5
ἐστιν,it is,V-PIA-3S,G1510,2 Thessalonians 1,26,5
ὅτι,because,Conj,G3754,2 Thessalonians 1,27,5
ὑπεραυξάνει,is increasing exceedingly,V-PIA-3S,G5232,2 Thessalonians 1,28,5
πίστις,faith,N-NFS,G4102,2 Thessalonians 1,29,5
πλεονάζει,is abounding,V-PIA-3S,G4121,2 Thessalonians 1,30,5
ἀγάπη,love,N-NFS,G26,2 Thessalonians 1,31,5
ἑνὸς,of one,Adj-GMS,G1520,2 Thessalonians 1,32,5
ἑκάστου,each,Adj-GMS,G1538,2 Thessalonians 1,33,5
πάντων,of all,Adj-GMP,G3956,2 Thessalonians 1,34,5
εἰς,to,Prep,G1519,2 Thessalonians 1,35,5
ἀλλήλους,one another,RecPro-AMP,G240,2 Thessalonians 1,36,5
