Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Ἀρχὴ,The beginning,N-NFS,G746,Mark 1,1,8
τοῦ,of the,Art-GNS,G3588,Mark 1,2,8
εὐαγγελίου,gospel,N-GNS,G2098,Mark 1,3,8
Ἰησοῦ,of Jesus,N-GMS,G2424,Mark 1,4,8
Χριστοῦ,Christ,N-GMS,G5547,Mark 1,5,8
Υἱοῦ,Son,N-GMS,G5207,Mark 1,6,8
Θεοῦ,of God,N-GMS,G2316,Mark 1,7,8
Καθὼς,As,Adv,G2531,Mark 1,8,8
γέγραπται,it has been written,V-RIM/P-3S,G1125,Mark 1,9,8
ἐν,in,Prep,G1722,Mark 1,10,8
τῷ,-,Art-DMS,G3588,Mark 1,11,8
Ἠσαΐᾳ,Isaiah,N-DMS,G2268,Mark 1,12,8
προφήτῃ,prophet,N-DMS,G4396,Mark 1,13,8
Ἰδοὺ,Behold,V-AMA-2S,G2400,Mark 1,14,8
ἀποστέλλω,I send,V-PIA-1S,G649,Mark 1,15,8
τὸν,the,Art-AMS,G3588,Mark 1,16,8
ἄγγελόν,messenger,N-AMS,G32,Mark 1,17,8
μου,of Me,PPro-G1S,G1473,Mark 1,18,8
πρὸ,before,Prep,G4253,Mark 1,19,8
προσώπου,face,N-GNS,G4383,Mark 1,20,8
σου,of You,PPro-G2S,G4771,Mark 1,21,8
ὃς,who,RelPro-NMS,G3739,Mark 1,22,8
κατασκευάσει,will prepare,V-FIA-3S,G2680,Mark 1,23,8
τὴν,the,Art-AFS,G3588,Mark 1,24,8
ὁδόν,way,N-AFS,G3598,Mark 1,25,8
Φωνὴ,The voice,N-NFS,G5456,Mark 1,26,8
βοῶντος,of one crying,V-PPA-GMS,G994,Mark 1,27,8
τῇ,the,Art-DFS,G3588,Mark 1,28,8
ἐρήμῳ,wilderness,Adj-DFS,G2048,Mark 1,29,8
Ἑτοιμάσατε,Prepare,V-AMA-2P,G2090,Mark 1,30,8
ὁδὸν,way,N-AFS,G3598,Mark 1,31,8
Κυρίου,of the Lord,N-GMS,G2962,Mark 1,32,8
εὐθείας,straight,Adj-AFP,G2117,Mark 1,33,8
ποιεῖτε,make,V-PMA-2P,G4160,Mark 1,34,8
τὰς,the,Art-AFP,G3588,Mark 1,35,8
τρίβους,paths,N-AFP,G5147,Mark 1,36,8
αὐτοῦ,of Him,PPro-GM3S,G846,Mark 1,37,8
Ἐγένετο,Came,V-AIM-3S,G1096,Mark 1,38,8
Ἰωάννης,John,N-NMS,G2491,Mark 1,39,8
ὁ,-,Art-NMS,G3588,Mark 1,40,8
βαπτίζων,baptizing,V-PPA-NMS,G907,Mark 1,41,8
καὶ,and,Conj,G2532,Mark 1,42,8
κηρύσσων,proclaiming,V-PPA-NMS,G2784,Mark 1,43,8
βάπτισμα,a baptism,N-ANS,G908,Mark 1,44,8
