reading_order_position,book,total_tokens,unique_lemmas_in_book,new_lemmas_at_this_step,cumulative_vocabulary,percent_of_total_vocabulary,percent_of_book_already_known
1,Luke,10720,2038,2038,2038,38.1,0.0
2,2 John,158,96,6,2044,38.21,93.75
3,3 John,160,108,16,2060,38.51,85.19
4,1 John,965,238,37,2097,39.2,84.45
5,2 Thessalonians,513,252,55,2152,40.23,78.17
6,1 Thessalonians,904,362,82,2234,41.76,77.35
7,Philemon,212,141,30,2264,42.33,78.72
8,Mark,6227,1355,348,2612,48.83,74.32
9,Matthew,9985,1685,265,2877,53.79,84.27
10,John,7558,1023,186,3063,57.26,81.82
11,Jude,316,226,44,3107,58.09,80.53
12,Galatians,1433,520,115,3222,60.24,77.88
13,Colossians,944,433,87,3309,61.86,79.91
14,Ephesians,1432,530,94,3403,63.62,82.26
15,Philippians,1008,448,82,3485,65.15,81.7
16,1 Corinthians,3885,956,184,3669,68.59,80.75
17,Revelation,5178,911,167,3836,71.71,81.67
18,James,1151,556,96,3932,73.51,82.73
19,1 Peter,1182,543,96,4028,75.3,82.32
20,2 Corinthians,2696,785,133,4161,77.79,83.06
21,Romans,4029,1060,175,4336,81.06,83.49
22,Titus,509,301,53,4389,82.05,82.39
23,2 Peter,755,397,70,4459,83.36,82.37
24,Hebrews,3323,1032,186,4645,86.84,81.98
25,1 Timothy,1179,538,89,4734,88.5,83.46
26,2 Timothy,872,456,69,4803,89.79,84.87
27,Acts,11125,2023,546,5349,100.0,73.01
